scoring_fn,mask_cond,session,perturbed_condition,n_frames,real_mean,real_std,pert_mean,pert_std,auroc,exceeds_threshold_0.85
eps_mse,E2_seg,D2,fake_5k,50,0.00699726284481585,0.0008188001872518674,0.005132059939205647,0.0006593186336278195,0.0424,False
eps_mse,E2_seg,D2,fake_25k,50,0.00699726284481585,0.0008188001872518674,0.004325895118527114,0.0006354326068410354,0.0104,False
eps_mse,E2_seg,D2,fake_70k,50,0.00699726284481585,0.0008188001872518674,0.004017111090943218,0.0005969898500240284,0.0064,False
eps_mse,E2_seg,D2,fake_100k,50,0.00699726284481585,0.0008188001872518674,0.003876902861520648,0.000576113917650356,0.004,False
eps_mse,E2_seg,D2,shuffled_E,50,0.00699726284481585,0.0008188001872518674,0.00822855400852859,0.0008411682607351765,0.8604,True
eps_mse,E2_seg,D2,cross_session_E,50,0.00699726284481585,0.0008188001872518674,0.00823497693054378,0.0008527375917070368,0.862,True
eps_mse,E2_seg,V10,fake_5k,56,0.00924910739662924,0.0013339696112346104,0.00734884651527474,0.0017988025209720387,0.19993622448979592,False
eps_mse,E2_seg,V10,fake_25k,56,0.00924910739662924,0.0013339696112346104,0.007220668181876785,0.0026020380479347535,0.2385204081632653,False
eps_mse,E2_seg,V10,fake_70k,56,0.00924910739662924,0.0013339696112346104,0.0074606739550030655,0.003281282264125935,0.2694515306122449,False
eps_mse,E2_seg,V10,fake_100k,56,0.00924910739662924,0.0013339696112346104,0.007228486422848489,0.0033400957070815478,0.23309948979591838,False
eps_mse,E2_seg,V10,shuffled_E,56,0.00924910739662924,0.0013339696112346104,0.010477935986792935,0.0013294533283750769,0.7417091836734694,False
eps_mse,E2_seg,V10,cross_session_E,56,0.00924910739662924,0.0013339696112346104,0.010483220269504403,0.0013032189791153212,0.7461734693877551,False
eps_mse,E3_seg,D2,fake_5k,50,0.0015908621856942772,7.715201473532592e-05,0.0043352119717746974,0.00010405552727932599,1.0,True
eps_mse,E3_seg,D2,fake_25k,50,0.0015908621856942772,7.715201473532592e-05,0.0034889840753749013,8.51468512508145e-05,1.0,True
eps_mse,E3_seg,D2,fake_70k,50,0.0015908621856942772,7.715201473532592e-05,0.0032719209790229796,8.568964025527948e-05,1.0,True
eps_mse,E3_seg,D2,fake_100k,50,0.0015908621856942772,7.715201473532592e-05,0.0030169942788779735,8.101573102784805e-05,1.0,True
eps_mse,E3_seg,D2,shuffled_E,50,0.0015908621856942772,7.715201473532592e-05,0.0032098490418866277,0.00010187754866159213,1.0,True
eps_mse,E3_seg,D2,cross_session_E,50,0.0015908621856942772,7.715201473532592e-05,0.003207197729498148,0.00010355457907940349,1.0,True
eps_mse,E3_seg,V10,fake_5k,56,0.0016586485767870077,5.889781321710703e-05,0.004786998748646251,0.00047113213246786857,1.0,True
eps_mse,E3_seg,V10,fake_25k,56,0.0016586485767870077,5.889781321710703e-05,0.0041198404297964385,0.0006895043558299092,1.0,True
eps_mse,E3_seg,V10,fake_70k,56,0.0016586485767870077,5.889781321710703e-05,0.004010927925784407,0.0008357676677350902,1.0,True
eps_mse,E3_seg,V10,fake_100k,56,0.0016586485767870077,5.889781321710703e-05,0.003768237615336797,0.0008899546121007569,1.0,True
eps_mse,E3_seg,V10,shuffled_E,56,0.0016586485767870077,5.889781321710703e-05,0.0033287296121540877,9.792338798146838e-05,1.0,True
eps_mse,E3_seg,V10,cross_session_E,56,0.0016586485767870077,5.889781321710703e-05,0.0033256295178684275,0.00010295380365600412,1.0,True
eps_mse,full_frame,D2,fake_5k,50,0.0018534723552875222,0.00011244804775435093,0.0043789509683847426,9.344236787044361e-05,1.0,True
eps_mse,full_frame,D2,fake_25k,50,0.0018534723552875222,0.00011244804775435093,0.003532987437210977,8.819656445007542e-05,1.0,True
eps_mse,full_frame,D2,fake_70k,50,0.0018534723552875222,0.00011244804775435093,0.0033100282261148096,8.998309984992724e-05,1.0,True
eps_mse,full_frame,D2,fake_100k,50,0.0018534723552875222,0.00011244804775435093,0.0030606906255707146,8.421392699555747e-05,1.0,True
eps_mse,full_frame,D2,shuffled_E,50,0.0018534723552875222,0.00011244804775435093,0.003454024423845112,0.00012303025017460975,1.0,True
eps_mse,full_frame,D2,cross_session_E,50,0.0018534723552875222,0.00011244804775435093,0.0034515333315357564,0.0001211886357462787,1.0,True
eps_mse,full_frame,V10,fake_5k,56,0.0021009018736159696,0.00014426508152684162,0.00493551349167579,0.00046847619271617397,1.0,True
eps_mse,full_frame,V10,fake_25k,56,0.0021009018736159696,0.00014426508152684162,0.004298202876400735,0.0007019069886719057,1.0,True
eps_mse,full_frame,V10,fake_70k,56,0.0021009018736159696,0.00014426508152684162,0.004205774357875011,0.0008684667859324868,1.0,True
eps_mse,full_frame,V10,fake_100k,56,0.0021009018736159696,0.00014426508152684162,0.003962415524126429,0.0009305101537121247,1.0,True
eps_mse,full_frame,V10,shuffled_E,56,0.0021009018736159696,0.00014426508152684162,0.0037447207765321116,0.00015079895317544534,1.0,True
eps_mse,full_frame,V10,cross_session_E,56,0.0021009018736159696,0.00014426508152684162,0.003742372849956155,0.0001674903304345148,1.0,True
eps_mae,E2_seg,D2,fake_5k,50,0.05481508448719978,0.0033571098587641926,0.04630878373980522,0.0029254858116543807,0.0332,False
eps_mae,E2_seg,D2,fake_25k,50,0.05481508448719978,0.0033571098587641926,0.04206604324281216,0.003458260633804538,0.0104,False
eps_mae,E2_seg,D2,fake_70k,50,0.05481508448719978,0.0033571098587641926,0.04067911610007286,0.003783770847382579,0.0076,False
eps_mae,E2_seg,D2,fake_100k,50,0.05481508448719978,0.0033571098587641926,0.04019661702215672,0.0038517600684327444,0.0068,False
eps_mae,E2_seg,D2,shuffled_E,50,0.05481508448719978,0.0033571098587641926,0.06269408285617828,0.00315705424027197,0.9592,True
eps_mae,E2_seg,D2,cross_session_E,50,0.05481508448719978,0.0033571098587641926,0.06273096956312657,0.003353929830356451,0.9524,True
eps_mae,E2_seg,V10,fake_5k,56,0.0634681179321238,0.0044308718724144465,0.055799290271742005,0.007460500064010024,0.19228316326530612,False
eps_mae,E2_seg,V10,fake_25k,56,0.0634681179321238,0.0044308718724144465,0.054201556369662285,0.010542869245396106,0.21237244897959184,False
eps_mae,E2_seg,V10,fake_70k,56,0.0634681179321238,0.0044308718724144465,0.05463062146944659,0.012379616177191402,0.23947704081632654,False
eps_mae,E2_seg,V10,fake_100k,56,0.0634681179321238,0.0044308718724144465,0.053833668386297565,0.01235122607752194,0.20950255102040816,False
eps_mae,E2_seg,V10,shuffled_E,56,0.0634681179321238,0.0044308718724144465,0.07119832247761744,0.0040631583506184855,0.9065688775510204,True
eps_mae,E2_seg,V10,cross_session_E,56,0.0634681179321238,0.0044308718724144465,0.07129682514018246,0.0039893177628591275,0.9043367346938775,True
eps_mae,E3_seg,D2,fake_5k,50,0.02264080412685871,0.0004888249767520044,0.03982625186443329,0.0004803742528852231,1.0,True
eps_mae,E3_seg,D2,fake_25k,50,0.02264080412685871,0.0004888249767520044,0.035340349599719045,0.00044225212925095474,1.0,True
eps_mae,E3_seg,D2,fake_70k,50,0.02264080412685871,0.0004888249767520044,0.034352776035666464,0.000462492301701906,1.0,True
eps_mae,E3_seg,D2,fake_100k,50,0.02264080412685871,0.0004888249767520044,0.033230437636375426,0.0004582991356934158,1.0,True
eps_mae,E3_seg,D2,shuffled_E,50,0.02264080412685871,0.0004888249767520044,0.035813882276415826,0.0006231736740868596,1.0,True
eps_mae,E3_seg,D2,cross_session_E,50,0.02264080412685871,0.0004888249767520044,0.03581595748662949,0.0006467915784417536,1.0,True
eps_mae,E3_seg,V10,fake_5k,56,0.02330324805474707,0.0003867096269247703,0.04206507998917784,0.002175015938900155,1.0,True
eps_mae,E3_seg,V10,fake_25k,56,0.02330324805474707,0.0003867096269247703,0.03835801048470395,0.00291987206936246,1.0,True
eps_mae,E3_seg,V10,fake_70k,56,0.02330324805474707,0.0003867096269247703,0.037802106767360656,0.003252398237491446,1.0,True
eps_mae,E3_seg,V10,fake_100k,56,0.02330324805474707,0.0003867096269247703,0.036835230620844026,0.0035060221216724244,1.0,True
eps_mae,E3_seg,V10,shuffled_E,56,0.02330324805474707,0.0003867096269247703,0.03675388458317944,0.0005848445689393176,1.0,True
eps_mae,E3_seg,V10,cross_session_E,56,0.02330324805474707,0.0003867096269247703,0.03675873331459505,0.0006292788881049335,1.0,True
eps_mae,full_frame,D2,fake_5k,50,0.024205918945372103,0.0006489774999404275,0.04015775799751282,0.00044055619422969417,1.0,True
eps_mae,full_frame,D2,fake_25k,50,0.024205918945372103,0.0006489774999404275,0.03567632019519806,0.0004618750505928392,1.0,True
eps_mae,full_frame,D2,fake_70k,50,0.024205918945372103,0.0006489774999404275,0.034664239212870596,0.0005033980721720218,1.0,True
