frame_idx_global,session,row,phaseg_correct_red,phaseg_shuf_red,phaseg_fake5k_red,phaseg_fake25k_red,phaseg_fake70k_red,phaseg_fake100k_red,delta_red_shuf,delta_red_fake100k,binder_e2fp16_red,ae64f_correct_red,z_correct_mean,z_correct_p95,z_shuf_mean,z_shuf_p95,z_fake100k_mean,z_fake100k_p95,excess_shuf_mean,excess_shuf_p95,excess_shuf_red,excess_fake100k_mean,excess_fake100k_p95,excess_fake100k_red,has_real,has_shuf,has_fake5k,has_fake25k,has_fake70k,has_fake100k,has_binder,has_ae
21,D2,21,0.00525,0.07174,0.10303,0.07599,0.07149,0.06803,0.06649,0.06278,0.00144,0.01817,1.0406,3.0542,3.9002,14.4378,3.6805,14.1277,1.4568,4.0000,0.41895,1.3747,4.0000,0.39187,1,1,1,1,1,1,1,1
22,D2,22,0.00651,0.08405,0.08893,0.06545,0.06262,0.06081,0.07753,0.05430,0.00098,0.02397,1.0845,3.1832,4.1816,15.8254,3.4422,13.3512,1.5009,4.0000,0.42509,1.2925,4.0000,0.37134,1,1,1,1,1,1,1,1
23,D2,23,0.00637,0.06921,0.09652,0.06997,0.06590,0.06095,0.06285,0.05459,0.00033,0.02187,1.0782,3.1193,3.8451,14.1346,3.5727,13.3793,1.4276,4.0000,0.40967,1.3492,4.0000,0.38562,1,1,1,1,1,1,1,1
24,D2,24,0.00456,0.06968,0.09882,0.07444,0.07050,0.06470,0.06512,0.06014,0.00026,0.01361,1.0110,2.9538,4.0163,14.2564,3.5749,13.8338,1.5757,4.0000,0.45119,1.3478,4.0000,0.38407,1,1,1,1,1,1,1,1
25,D2,25,0.00486,0.08643,0.08852,0.06608,0.05725,0.05160,0.08156,0.04673,0.00022,0.01801,1.0203,2.9143,4.1574,15.7414,3.2493,12.4669,1.4986,4.0000,0.42212,1.2290,4.0000,0.35376,1,1,1,1,1,1,1,1
26,D2,26,0.00637,0.07471,0.08598,0.06101,0.05593,0.05253,0.06834,0.04616,0.00061,0.02490,1.0428,3.0107,4.0728,14.8418,3.2381,12.5782,1.5190,4.0000,0.43243,1.2365,4.0000,0.35785,1,1,1,1,1,1,1,1
27,D2,27,0.00629,0.07758,0.09599,0.06903,0.06490,0.05971,0.07129,0.05343,0.00055,0.02557,1.0916,3.2050,3.9968,15.1279,3.5898,13.4139,1.4408,4.0000,0.40855,1.3621,4.0000,0.39038,1,1,1,1,1,1,1,1
28,D2,28,0.00539,0.08866,0.09517,0.06980,0.06679,0.06215,0.08327,0.05676,0.00061,0.01984,1.0644,3.2696,4.2752,16.0781,3.5852,13.6482,1.5267,4.0000,0.43101,1.3570,4.0000,0.38755,1,1,1,1,1,1,1,1
29,D2,29,0.00397,0.07888,0.09363,0.06771,0.05662,0.04911,0.07491,0.04515,0.00039,0.01202,0.9908,2.9368,4.0588,15.2575,3.2741,12.2165,1.4999,4.0000,0.42910,1.2941,4.0000,0.37168,1,1,1,1,1,1,1,1
30,D2,30,0.00464,0.07558,0.09625,0.06966,0.06099,0.05882,0.07094,0.05418,0.00065,0.01442,1.0134,2.9021,3.9547,14.8313,3.5510,13.2384,1.4591,4.0000,0.41410,1.3593,4.0000,0.39136,1,1,1,1,1,1,1,1
31,D2,31,0.00557,0.07178,0.08341,0.06262,0.06028,0.05876,0.06620,0.05318,0.00057,0.02002,1.0409,2.9788,4.0683,14.2100,3.5189,13.1331,1.5653,4.0000,0.44861,1.3712,4.0000,0.39264,1,1,1,1,1,1,1,1
32,D2,32,0.00525,0.07699,0.08527,0.06093,0.05863,0.05509,0.07174,0.04985,0.00039,0.02041,1.0323,3.0335,4.1055,15.2149,3.4135,12.8448,1.5377,4.0000,0.44226,1.3311,4.0000,0.38393,1,1,1,1,1,1,1,1
