ablation,condition,session,n_frames,auroc,auroc_ci_low,auroc_ci_high,median_delta_score,delta_iqr_low,delta_iqr_high,mw_effect_size,delta_bootstrap_mean,delta_bootstrap_ci_low,delta_bootstrap_ci_high,auroc_degradation_pct,delta_degradation_pct,regime_classification
E1,fake_5k,D2,60,1.0,,,0.007475878699915483,0.007205041892302689,0.007743798958836123,1.0,0.007478643221353801,0.007387566918432033,0.007572484866994879,,,weak_dependence
E1,fake_5k,V10,60,1.0,,,0.009044147882377729,0.008402718850993552,0.010248848525225184,1.0,0.010471588124928528,0.00958668571189628,0.011366355317799993,,,weak_dependence
E1,fake_25k,D2,60,1.0,,,0.0055161488504381845,0.00531054467719514,0.005756459524855018,1.0,0.005541398895341748,0.005460110566350825,0.0056260497064091995,,,weak_dependence
E1,fake_25k,V10,60,1.0,,,0.007127686718013138,0.0065113195581943725,0.00836682573572034,1.0,0.008733086946206944,0.00774854881780387,0.009733561871650939,,,weak_dependence
E1,fake_70k,D2,60,1.0,,,0.0045455916231730955,0.004326572293939535,0.004708734147425275,1.0,0.0045374453338445165,0.004472247171315151,0.004602051892562789,,,weak_dependence
E1,fake_70k,V10,60,1.0,,,0.00621895674848929,0.005510716805292759,0.007292708268505522,1.0,0.008167182334388295,0.006967576113362157,0.009424248955294994,,,weak_dependence
E1,fake_100k,D2,60,1.0,,,0.0036722043791087345,0.003488736064173281,0.0038597577688051386,1.0,0.0036772255096972615,0.00361606962748192,0.003737434024342898,,,weak_dependence
E1,fake_100k,V10,60,1.0,,,0.005210842762608081,0.004561952379299327,0.006181243504397571,1.0,0.007117528742237482,0.005895230212377403,0.00839349412340865,,,weak_dependence
E1,shuffled_E,D2,60,1.0,,,0.004009197669802234,0.003916778329585213,0.004109197172510903,1.0,0.0040128520197079826,0.003976005719938257,0.00405029686607789,,,weak_dependence
E1,shuffled_E,V10,60,1.0,,,0.004121096504968591,0.004016653761209455,0.004202011924644466,1.0,0.004114945357141551,0.004080143295912422,0.004147257108214641,,,weak_dependence
E1,cross_session_E,D2,60,1.0,,,0.004005407349904999,0.003924413333879784,0.004083173401886597,1.0,0.004002240836853161,0.0039690876156358475,0.004035146467043281,,,weak_dependence
E1,cross_session_E,V10,60,1.0,,,0.0041369735961779945,0.00403518132661702,0.004217493114992976,1.0,0.004124535979644861,0.0040962373339692324,0.004154294492029293,,,weak_dependence
E2,fake_5k,D2,60,0.9925,,,0.005715746933128684,0.003161466047458816,0.006165756958944257,0.9850000000000001,0.004932919340499211,0.00449147270633936,0.005378684697636346,0.7499999999999951,23.544145610691857,moderate_dependence
E2,fake_5k,V10,60,0.9833333333333333,,,0.006927621259819716,0.0063152917631668975,0.008134965000499506,0.9666666666666666,0.00828995116278141,0.007014787985569758,0.009590460930138458,1.6666666666666718,23.4021673471528,moderate_dependence
E2,fake_25k,D2,60,0.9902777777777778,,,0.00421371279808227,0.0022247110144235195,0.004545136942761019,0.9805555555555556,0.003564885678157832,0.0032186736401805926,0.003917463177933921,0.9722222222222188,23.61132898457686,moderate_dependence
E2,fake_25k,V10,60,0.9833333333333333,,,0.00557856138329953,0.004890423794859089,0.006553566815273372,0.9666666666666666,0.007052950394960742,0.005765396710148102,0.008362156260392413,1.6666666666666718,21.733914466227134,moderate_dependence
E2,fake_70k,D2,60,0.9872222222222222,,,0.0033739764097845187,0.0016129780473420397,0.003745005845848936,0.9744444444444444,0.0028197614161763343,0.0025167099749814955,0.0031241682474719714,1.2777777777777777,25.774757402661685,moderate_dependence
E2,fake_70k,V10,60,0.9833333333333333,,,0.004964834288693964,0.004043745232047513,0.005773771523672621,0.9666666666666666,0.006818228952179198,0.005317192017110453,0.008393109376268209,1.6666666666666718,20.166122880658033,moderate_dependence
E2,fake_100k,D2,60,0.9730555555555556,,,0.0025152134301606567,0.0009430372272618115,0.002859640953829512,0.9461111111111111,0.0020374039708985947,0.0017561794178157773,0.0023133348866564733,2.6944444444444438,31.506714482729482,moderate_dependence
E2,fake_100k,V10,60,0.9827777777777778,,,0.003941863105865195,0.0031233449844876304,0.005061724316328764,0.9655555555555555,0.005959251569778039,0.004412620676996691,0.007582491137797964,1.722222222222225,24.352676036375897,moderate_dependence
E2,shuffled_E,D2,60,0.9961111111111111,,,0.0036742840340593832,0.00172012516122777,0.0038137293173349466,0.9922222222222221,0.003118116549934105,0.002846589854156869,0.0033637430581754113,0.38888888888889417,8.353632405442635,weak_dependence
E2,shuffled_E,V10,60,0.9952777777777778,,,0.0036693179397843784,0.0029339736356632784,0.003823984148039017,0.9905555555555556,0.0031121651992240614,0.002848352148267925,0.0034038330000645757,0.4722222222222183,10.96258155176727,weak_dependence
E2,cross_session_E,D2,60,0.9969444444444444,,,0.0036822766560362656,0.0016864257675479166,0.0038069506044848813,0.9938888888888888,0.003099655372401079,0.002830435401022744,0.003346381353432662,0.3055555555555589,8.067361584993282,weak_dependence
E2,cross_session_E,V10,60,0.995,,,0.0036696213006507604,0.002832195060909726,0.0038092890084953984,0.99,0.0031307383883783283,0.002869471328551299,0.0034148309953452548,0.5000000000000004,11.29696104318878,weak_dependence
E3,fake_5k,D2,60,0.8805555555555555,,,0.0005305178434355184,0.00027392447809688753,0.0024788723429082895,0.7611111111111111,0.0011847137999332822,0.0008612504235497909,0.001545895798842442,11.944444444444446,92.90360551942187,strong_dependence
E3,fake_5k,V10,60,0.9769444444444444,,,0.000782247935421765,0.00037052759289508703,0.002563618205022067,0.9538888888888888,0.0026380098838126283,0.001606524656289063,0.003674005630227232,2.3055555555555607,91.35078345030212,strong_dependence
E3,fake_25k,D2,60,0.8019444444444445,,,0.00035126635921187686,0.00015829690091777586,0.001882568646396976,0.6038888888888889,0.0008667631888723311,0.0006098540555152189,0.0011501709969040045,19.805555555555554,93.63203624963867,strong_dependence
E3,fake_25k,V10,60,0.93,,,0.0005480527324834841,0.00021215222950559135,0.0019388703760341744,0.8600000000000001,0.0023082158148948415,0.0013332348405432032,0.0033249052942022285,6.999999999999995,92.31093124367487,strong_dependence
E3,fake_70k,D2,60,0.8222222222222222,,,0.0003589528932934629,0.00021298933279467768,0.0017974170375964606,0.6444444444444444,0.0008486404477541026,0.0006133128250051718,0.0010959937206231796,17.777777777777782,92.10327448986955,strong_dependence
E3,fake_70k,V10,60,0.9483333333333334,,,0.0005850516317877921,0.00026678761205403104,0.0020284737402107562,0.8966666666666667,0.002418684554383314,0.0014081770562236972,0.003513367756934409,5.166666666666664,90.5924473276018,strong_dependence
E3,fake_100k,D2,60,0.7894444444444444,,,0.0003061064518988131,0.00017237038700841352,0.0015963286103215072,0.5788888888888888,0.0007311941228302505,0.0005285706263845593,0.0009464289861134604,21.05555555555556,91.66423160866916,strong_dependence
E3,fake_100k,V10,60,0.9261111111111111,,,0.0005859692901140081,0.00020971258636563977,0.001890107439248823,0.8522222222222222,0.0022512653353624046,0.0013016005331543661,0.0032709139258343682,7.388888888888889,88.75480768065385,strong_dependence
E3,shuffled_E,D2,60,0.8955555555555555,,,0.0004976443422492591,0.00038744830817449816,0.002026982956158463,0.7911111111111111,0.0009559330119130512,0.0007546403252781601,0.001179486243124605,10.444444444444445,87.58743311666628,strong_dependence
E3,shuffled_E,V10,60,0.9425,,,0.0004436239018104967,0.0003505834509269333,0.001430387563596014,0.885,0.0009561138066540782,0.0007040388001454023,0.0011912020838402287,5.75,89.23529450776893,strong_dependence
E3,cross_session_E,D2,60,0.8955555555555555,,,0.0004757730639539661,0.00036710374988615515,0.0020760551997227594,0.7911111111111111,0.0009534302755491807,0.0007517307220914518,0.0011770103621941718,10.444444444444445,88.12173089048608,strong_dependence
E3,cross_session_E,V10,60,0.9377777777777778,,,0.00043006292835343594,0.00034818586136680036,0.0015107714687474072,0.8755555555555556,0.0009640579558132836,0.0007038176464023611,0.0011981140906743048,6.222222222222218,89.6044072229333,strong_dependence
E4,fake_5k,D2,60,1.0,,,0.0034867826936533673,0.003206249617505819,0.003733128849125933,1.0,0.003457295095625644,0.003356464648704181,0.0035556485230432973,0.0,53.359560345825486,strong_dependence
E4,fake_5k,V10,60,1.0,,,0.004955295188119635,0.0042883377696853135,0.006090095057152211,1.0,0.006386155628715643,0.005492588371831517,0.007279657124493193,0.0,45.20992742970413,moderate_dependence
E4,fake_25k,D2,60,1.0,,,0.0015827520634047686,0.0013276184035930791,0.0017533234757138418,1.0,0.0015200507696135903,0.0014284749253808207,0.0016068448349202903,0.0,71.3069370258375,strong_dependence
E4,fake_25k,V10,60,1.0,,,0.003096177248517051,0.0024530391106964097,0.004235487195546738,1.0,0.004647654449994055,0.003658947404903301,0.005644496346581339,0.0,56.56126074267025,strong_dependence
E4,fake_70k,D2,60,0.9308333333333333,,,0.0005469797673868012,0.00032467357814312033,0.0007498612510971725,0.8616666666666666,0.0005160972081163588,0.00043505933938771103,0.0005893373704675467,6.916666666666671,87.96680800364165,strong_dependence
E4,fake_70k,V10,60,1.0,,,0.002148196054622531,0.0013658234864124103,0.0031963748653652145,1.0,0.0040817498381754075,0.002849803249649995,0.005337086967299303,0.0,65.45729225172097,strong_dependence
E4,fake_100k,D2,60,0.15083333333333335,,,-0.0003216754674213009,-0.0005369380698539313,-0.00014815945178270362,-0.6983333333333333,-0.0003441226160308967,-0.0004133032097524847,-0.00027588132405314067,84.91666666666666,108.75973759116788,strong_dependence
E4,fake_100k,V10,60,0.9038888888888889,,,0.0011092618107795722,0.00043093406275147546,0.002074142594938166,0.8077777777777777,0.003032096246024594,0.0018104767831246139,0.004310946411327071,9.611111111111114,78.71242980618408,strong_dependence
E4,shuffled_E,D2,60,0.47805555555555557,,,-4.45634708739818e-05,-9.645270183682403e-05,9.98463889118281e-05,-0.043888888888888866,-8.496106020175013e-06,-5.140440426475849e-05,3.668433850301271e-05,52.19444444444444,101.11153089830516,strong_dependence
E4,shuffled_E,V10,60,0.5358333333333334,,,1.0784214828163732e-05,-8.364251989405498e-05,0.0001379748544422907,0.07166666666666677,2.9512860928662113e-05,-8.241455958341145e-06,6.702823775412975e-05,46.416666666666664,99.73831685777895,strong_dependence
E4,cross_session_E,D2,60,0.4775,,,-1.3349921209738005e-05,-0.00012392425851430792,0.00010433572460897232,-0.04500000000000004,-1.9107288874996296e-05,-6.16525311391646e-05,1.9298035248842267e-05,52.25,100.33329746623785,strong_dependence
E4,cross_session_E,V10,60,0.5494444444444444,,,4.1008542757480816e-05,-3.8834378938190466e-05,0.0001366924581816429,0.0988888888888888,3.910348343197268e-05,3.889232665339205e-06,7.217863423284147e-05,45.05555555555556,99.00873085592407,strong_dependence
E5,fake_5k,D2,60,1.0,,,0.007490105810575187,0.007152841874631122,0.007714659154589755,1.0,0.0074750135584812,0.00738700973427088,0.007564845040328996,0.0,-0.19030686867438362,weak_dependence
E5,fake_5k,V10,60,1.0,,,0.008988430391764269,0.008462025635526515,0.01023332372715231,1.0,0.010511463865307933,0.009625992074075234,0.011398429184225586,0.0,0.6160612512984609,weak_dependence
E5,fake_25k,D2,60,1.0,,,0.0055394752329448235,0.005285292616463267,0.005744925695762504,1.0,0.005537769232469144,0.005456758975640697,0.005617102087135816,0.0,-0.42287442088850824,weak_dependence
E5,fake_25k,V10,60,1.0,,,0.007158068160060793,0.006562378827948124,0.008257431745005307,1.0,0.008772962686586347,0.007794506903383686,0.009769239921644234,0.0,-0.4262454741574828,weak_dependence
E5,fake_70k,D2,60,1.0,,,0.004515422618715093,0.0043246869914582925,0.0047705975099233905,1.0,0.004533815670971915,0.004464785938786613,0.004600388768325502,0.0,0.6636980828678807,weak_dependence
E5,fake_70k,V10,60,1.0,,,0.006235908504459075,0.005388613897957839,0.007241312153928448,1.0,0.008207058074767702,0.007005312063158878,0.009461548605286224,0.0,-0.2725819885128322,weak_dependence
E5,fake_100k,D2,60,1.0,,,0.0036273369332775474,0.003499622203526087,0.003861459965992253,1.0,0.003673595846824658,0.0036146579800649,0.003733404626650251,0.0,1.2218123284869264,weak_dependence
E5,fake_100k,V10,60,1.0,,,0.00525799741735682,0.004511682959855535,0.006129847389820498,1.0,0.0071574044826168874,0.0059385961073809695,0.00844352882948685,0.0,-0.9049333648505131,weak_dependence
E5,shuffled_E,D2,60,1.0,,,0.003993297630222515,0.0038817151929833923,0.004101496608927846,1.0,0.0040092223568353805,0.003962477681838209,0.0040557293444823395,0.0,0.39658906567465735,weak_dependence
E5,shuffled_E,V10,60,1.0,,,0.004171040747314691,0.004042699022102169,0.004262808045314159,1.0,0.004154821097520956,0.004100935429206099,0.004212565860044076,0.0,-1.2119163500754038,weak_dependence
E5,cross_session_E,D2,60,1.0,,,0.004036035406170413,0.00389724569831742,0.004123131037340499,1.0,0.003998611173980559,0.003958167554873702,0.0040355436767131325,0.0,-0.764667700181354,weak_dependence
E5,cross_session_E,V10,60,1.0,,,0.004175915417727083,0.004031156706332695,0.0042693529190728444,1.0,0.004164411720024267,0.004116636035073801,0.004217942314700243,0.0,-0.9413118223685402,weak_dependence
