session,row,mode,sigma_target,achieved_delta_rms,achieved_delta_max,achieved_delta_p95,fraction_changed,fraction_clipped,score_baseline,score_perturbed,delta_score
D2,1413,A_rendered,0.3,0.14093942940235138,0.6932857036590576,0.276235431432724,0.9371956719292535,0.05282804701063368,0.003423879644833505,0.003837087255669758,0.00041320761083625274
D2,1413,A_rendered,0.5,0.22062751650810242,1.0,0.427450954914093,0.9587143792046441,0.12632115681966147,0.003423879644833505,0.00439367702929303,0.0009697973844595251
D2,1413,B_phase_g_input,0.1,0.09803536534309387,0.4856209456920624,0.19237414002418518,0.9124878777398003,0.03007210625542535,0.003423879644833505,0.0036467888625338674,0.00022290921770036238
D2,1413,B_phase_g_input,0.3,0.2583288252353668,1.0,0.4954248368740082,0.96490478515625,0.17785729302300346,0.003423879644833505,0.00473897869233042,0.001315099047496915
D2,1413,B_phase_g_input,0.5,0.3518025875091553,1.0,0.6503268480300903,0.9753557840983073,0.3588244120279948,0.003423879644833505,0.005799956934060902,0.0023760772892273967
D2,1413,C_binder_resolution,0.1,0.05396831035614014,0.3066791296005249,0.10608360171318054,0.846382564968533,0.016037835015190974,0.003423879644833505,0.0034965940401889386,7.271439535543349e-05
D2,1413,C_binder_resolution,0.3,0.15591469407081604,0.8377009034156799,0.3050295114517212,0.9427680969238281,0.06334347195095485,0.003423879644833505,0.003911694436101243,0.000487814791267738
D2,1413,C_binder_resolution,0.5,0.2402682900428772,1.0,0.4634745419025421,0.9620946248372396,0.15188132392035592,0.003423879644833505,0.0045577272772789005,0.0011338476324453954
D2,1430,A_rendered,0.1,0.04831154644489288,0.24510252475738525,0.09509845077991486,0.827935536702474,0.0180511474609375,0.003571043408010155,0.003630651033017784,5.9607625007629134e-05
D2,1430,A_rendered,0.3,0.14061984419822693,0.7058823108673096,0.2759445905685425,0.9350412156846788,0.05796517266167535,0.003571043408010155,0.004000605642795562,0.00042956223478540735
D2,1430,A_rendered,0.5,0.21988342702388763,0.9666969776153564,0.4270840585231781,0.9566213819715712,0.13125101725260416,0.003571043408010155,0.004564861668040976,0.0009938182600308207
D2,1430,B_phase_g_input,0.1,0.09767026454210281,0.49146729707717896,0.19200363755226135,0.9104974534776475,0.034678141276041664,0.003571043408010155,0.0038021582178771494,0.00023111480986699436
D2,1430,B_phase_g_input,0.3,0.25770437717437744,1.0,0.49586057662963867,0.9625634087456597,0.1820339626736111,0.003571043408010155,0.004908708389848471,0.0013376649818383156
D2,1430,B_phase_g_input,0.5,0.3514879643917084,1.0,0.6516339778900146,0.9732933044433594,0.36147774590386283,0.003571043408010155,0.0059324805508367716,0.0023614371428266165
D2,1430,C_binder_resolution,0.1,0.05384229123592377,0.2798299789428711,0.10588761419057846,0.8445006476508247,0.019581264919704862,0.003571043408010155,0.003653100738301873,8.205733029171798e-05
D2,1430,C_binder_resolution,0.3,0.15538311004638672,0.7759480476379395,0.3045751750469208,0.9406937493218316,0.06853273179796007,0.003571043408010155,0.004082781658507883,0.0005117382504977283
D2,1430,C_binder_resolution,0.5,0.23955650627613068,1.0,0.463180810213089,0.9599655999077691,0.15604443020290798,0.003571043408010155,0.00473686516052112,0.0011658217525109646
D2,1447,A_rendered,0.1,0.04837142303586006,0.25693267583847046,0.09514214843511581,0.8290638393825955,0.016425662570529513,0.003442696580896154,0.0035055365529842674,6.283997208811343e-05
D2,1447,A_rendered,0.3,0.14083139598369598,0.7091503739356995,0.2763381600379944,0.9361665513780382,0.05498843722873264,0.003442696580896154,0.0038454718596767634,0.00040277527878060946
D2,1447,A_rendered,0.5,0.22040478885173798,1.0,0.4274274408817291,0.9575381808810763,0.12822723388671875,0.003442696580896154,0.004405173432314768,0.0009624768514186143
D2,1447,B_phase_g_input,0.1,0.09782352298498154,0.501451313495636,0.19206388294696808,0.9111531575520834,0.032498677571614586,0.003442696580896154,0.003669015574268997,0.00022631899337284284
D2,1447,B_phase_g_input,0.3,0.25812384486198425,1.0,0.49521324038505554,0.9638493855794271,0.17946963840060765,0.003442696580896154,0.004723912850022316,0.0012812162691261618
D2,1447,B_phase_g_input,0.5,0.3515278100967407,1.0,0.6496732234954834,0.9745919969346788,0.36001671685112846,0.003442696580896154,0.005821197992190719,0.0023785014112945647
D2,1447,C_binder_resolution,0.1,0.05389008671045303,0.2760659158229828,0.10591413825750351,0.8459303114149306,0.017759535047743056,0.003442696580896154,0.0035139480081852526,7.125142728909867e-05
D2,1447,C_binder_resolution,0.3,0.15571337938308716,0.7970485687255859,0.3046641945838928,0.9416783650716146,0.0655411614312066,0.003442696580896154,0.00394648858346045,0.0005037920025642959
D2,1447,C_binder_resolution,0.5,0.24019433557987213,1.0,0.46358174085617065,0.9611952039930556,0.15331522623697916,0.003442696580896154,0.004538272193167358,0.0010955756122712043
D2,1464,A_rendered,0.1,0.04839323088526726,0.25520527362823486,0.09521166235208511,0.8293266296386719,0.016045464409722224,0.003500919439829886,0.0035592496744357048,5.8330234605818813e-05
D2,1464,A_rendered,0.3,0.140849769115448,0.6977633237838745,0.2762380540370941,0.936194101969401,0.0547697279188368,0.003500919439829886,0.003916194348130375,0.00041527490830048884
D2,1464,A_rendered,0.5,0.2203896939754486,0.9616556763648987,0.42732369899749756,0.958028581407335,0.12838363647460938,0.003500919439829886,0.004490468470612541,0.0009895490307826552
